spec,carp_col,spor_col,comment
Amanita gemmata f. amici (Gillet) E.-J. Gilbert,yellow,,
Amanita gemmata group,yellow,white,
Amanita gilbertii Beauseign.,white,,
Amanita gioiosa S. Curreli ex S. Curreli,,,
Amanita gracilior Bas & Honrubia,white,,
Amanita griseoverrucosa Zhu L. Yang,,,
Amanita groenlandica Bas ex Knudsen & Borgen,,,
Amanita grossa (Berk.) Sacc.,white,,
Amanita hemibapha (Berk. & Broome) Sacc.,orange,,
Amanita herrerae,,,
Amanita hesleri Bas,,,
Amanita heterochroma S. Curreli,,,
Amanita homolae nom. prov.,white,,
Amanita hygroscopica Coker,white,,
Amanita inodora (Murrill) Bas,white,,
Amanita insinuans Tulloss & Kudzma nom. prov.,,,
Amanita islandica Melot,,,
Amanita jacksonii Pomerleau,red,,
Amanita javanica (Corner & Bas) T. Oda C. Tanaka & Tsuda,yellow,,
Amanita justicei Tulloss & Kudzma nom. prov.,,,
Amanita karea G.S. Ridl.,brown,,
Amanita kryorhodon Tulloss & Kudzma nom. prov.,,,
Amanita kundabungii Tulloss & Kudzma nom. prov.,,,
Amanita lactea Malençon Romagnesi & Reid,white,,
Amanita lanivolva Bas,brown,,
Amanita laurae Guzmán & Ram.-Guill.,yellow,,
Amanita lavendula (Coker) Tulloss K.W. Hughes Rodrig. Cayc. & Kudzma,white,,
Amanita lavendula group,white,,
Amanita levistriata Dav. T. Jenkins,yellow,,
Amanita limbatula Bas,white,,
Amanita limbatula group,white,,
Amanita lividopallescens (Secr. ex Boud.) Kühner & Romagn.,,,
Amanita longipes Bas ex Tulloss & Dav. T. Jenkins,white,,
Amanita longistriata S. Imai,,,
Amanita luteofusca Cleland & E.-J. Gilbert,,,
Amanita luteolovelata D.A. Reid,grey,,
Amanita macerisolum nom. prov. Tulloss,white,,
Amanita macerisolum Tulloss Rodr. Cayc. & Geml nom. prov.,white,white,
Amanita magniradix Tulloss nom. prov.,white,,
Amanita magnivelaris Peck,white,,
Amanita magniverrucata Thiers & Ammirati,white,white,
Amanita magnivolvata Aalto,,,
Amanita mairei Foley,white,,
Amanita malleata (Bon) Contu,grey,,
Amanita manicata (Berk. & Broome) Pegler,,,
Amanita mappa (Batsch) Fr.,white,,
Amanita marmorata Cleland & E.-J. Gilbert,brown,,
Amanita mediinox Tulloss nom. prov.,grey,,
Amanita merxmuelleri group,brown,,
Amanita microlepis Bas,white,,
Amanita minutula Y. Lamoureux nom. prov.,brown,,
Amanita morrisii Peck,grey,,
Amanita multisquamosa Peck,white,white,
Amanita murinoflammeum Tulloss A.M. Young & A.E. Wood,brown,,
Amanita murrilliana Singer,white,,
Amanita muscaria (L.) Lam.,red,white,
Amanita muscaria (L.) Lam. var. muscaria,red,,
Amanita muscaria group,red,,
Amanita muscaria sensu auct. amer.,red,,
Amanita muscaria subsp. flavivolvata Singer,red,white,
Amanita muscaria subsp. muscaria,red,,
Amanita muscaria var. aureola (Kalchbr.) Quél.,,,
Amanita muscaria var. flavivolvata (Singer) Dav. T. Jenkins,red,,rouge orangé
Amanita muscaria var. formosa Pers.,,,
Amanita muscaria var. formosa sensu Thiers,yellow,,
Amanita muscaria var. guessowii Veselý,orange,,
Amanita mutabilis Beardslee,white,,red when sliced
Amanita myrmeciae Tulloss Kudzma & Albertella nom. prov.,,,
Amanita nauseosa (Wakef.) D.A. Reid,,,
Amanita nehuta G.S. Ridl.,grey,,
Amanita nigrescens G. Stev.,grey,,
Amanita nishidae Tulloss nom. prov.,brown,,
Amanita nivalis Grev.,,,
Amanita nothofagi G. Stev.,grey,,black
Amanita novinupta group,,,
Amanita novinupta Tulloss & J. Lindgr.,white,white,
Amanita ochrophylla (Cooke) Cleland,,,
Amanita ochrophylloides D.A. Reid,,,
Amanita ocreata Peck,white,,
Amanita olivaceogrisea Kalaméés,brown,,
Amanita onusta (Howe) Sacc.,grey,,
Amanita orsonii Ash. Kumar & T.N. Lakh.,,,
Amanita ovoidea (Bull.) Lin,white,,
Amanita pachycolea D.E. Stuntz,grey,,black browny
Amanita pachysperma G.F. Atk.,,,
Amanita pachyvolvata (Bon) Krieglst.,brown,,
Amanita pahasapaensis Tulloss nom. prov.,white,,
Amanita pallidocarnea (Höhn.) Boedijn.,grey,,
Amanita pantherina (DC.) Krombh.,brown,,
Amanita pantherina group,brown,,
Amanita pantherina var. abietis,brown,,
Amanita pantherina var. abietum (E.-J. Gilbert) Veselý,brown,,
Amanita pantherinoides Murrill,brown,,
Amanita parcivolvata (Peck) E.-J. Gilbert,red,,
Amanita peckiana Kauffman,white,,
Amanita pekeoides G.S. Ridl.,grey,,
Amanita pelioma Bas,white,,
Amanita pelioma group,white,,
Amanita penetrans Tulloss & Kudzma nom. prov.,,,
Amanita penetratrix group,white,,
Amanita penetratrix Tulloss nom. prov.,white,,
Amanita Pers.,,,
Amanita Pers. sect. Amanita,,,
Amanita Pers. subgenus Amanita,,,
Amanita persicina (Dav. T. Jenkins) Tulloss & Geml,red,white,
Amanita phalloides (Fr.) Link,brown,,
Amanita phalloides var. alba Costantin & L.M. Dufour,white,white,
Amanita pleropus (Kalchbr. & MacOwan) D.A. Reid,brown,,
Amanita polypyramis (Berk. & M.A. Curtis) Sacc.,white,white,
Amanita populiphila Tulloss & E. Moses,white,white,
Amanita porphyria Alb. & Schwein.,brown,white,
Amanita praeclara (A. Pearson) Bas,white,,
Amanita praecox Y. Lamoureux nom. prov.,brown,white,marron clair
Amanita praelongispora (Murrill) Murrill,white,,
Amanita princeps Corner & Bas,,,
Amanita protecta Tulloss & G. Wright,grey,,
Amanita proxima Dumée,white,white,
Amanita pruittii A.H. Sm. ex Tulloss J. Lindgr. & Arora,white,,voir gris
Amanita pseudobreckonii,brown,,
Amanita pseudocrocea Tulloss nom. Prov.,orange,,
Amanita pseudocrocea Tulloss nom. prov.,orange,,
Amanita pseudoporphyria Hongo,grey,,
Amanita pseudovolvata Tulloss nom. prov.,white,,
Amanita pubescens sensu Coker,white,,
Amanita punctata sensu A.E. Wood,,,
Amanita radiata Dav. T. Jenkins,,,
Amanita rasitabula Tulloss nom. prov.,white,,
Amanita ravenelii (Berk. & M.A. Curt.) Sacc.,white,,
Amanita recutita sensu Coker,white,,
Amanita regalis (Fr.) Michael,brown,,
Amanita rhacopus group,,,
Amanita rhacopus Y. Lamoureux nom. prov.,brown,,
Amanita rhoadsii Murrill,white,,
Amanita rhopalopus Bas,white,,
Amanita rhopalopus group,white,,
Amanita rosea D.A. Reid,brown,,
Amanita roseitincta (Murrill) Murrill,orange,,
Amanita roseolamellata A.E. Wood,grey,,
Amanita rubescens f. annulosulfurea (Gillet) Lange,,,
Amanita rubescens group,brown,white,
Amanita rubescens Pers.,brown,white,
Amanita rubescens var. alba Coker,,,
Amanita rubescens var. annulosulphurea Gillet,grey,,
Amanita rubrovolvata S. Imai,red,,
Amanita rufoferruginea Hongo,orange,,
Amanita russuloides (Peck) Sacc.,white,,
Amanita sagittaria Tulloss nom. Prov.,,,
Amanita saintnicholi,,,
Amanita salmonescens Tulloss,white,,
Amanita scalaris Tulloss nom. prov.,white,,
Amanita sculpta Corner & Bas,,,
Amanita sect. Amidella,,,
Amanita sect. Caesareae Singer,,,
Amanita sect. Lepidella sensu Bas,white,,
Amanita sect. Lepidella subsect. Limbatulae,,,
Amanita sect. Phalloideae (Fr.) Singer,white,,
Amanita sect. Vaginatae sensu Zhu L. Yang,,,
Amanita sect. Validae (Fr.) Singer,brown,,
Amanita semiobruta Tulloss & Kudzma nom. prov.,,,
Amanita series Umbrinellae nom. prov.,,,
Amanita silvatica Guzmán,,,
Amanita silvicola Kauffman,,,
Amanita simulans Contu,,,
Amanita sinensis Zhu L. Yang,,,
Amanita singeri Bas,,,
Amanita sinicoflava Tulloss,,,
Amanita smithiana Bas,white,white,
Amanita solaniolens group,,,
Amanita solaniolens H.L. Stewart & Grund,brown,white,
Amanita solitaria (Bull. : Fr.) Fr.,,,
Amanita sororcula Tulloss Ovrebo & Halling,,,
Amanita sp-34,,,
Amanita sp-36,,,
